"","GME.Open","GME.High","GME.Low","GME.Close","GME.Volume","GME.Adjusted"
"295",149.229996,159.380005,149.210007,152.839996,1413700,152.839996
"296",152.169998,152.990005,143.050003,148.910004,1834900,148.910004
"297",148.389999,148.850006,129.149994,129.369995,3396400,129.369995
"298",132.839996,137.699997,121.139999,131.029999,6051500,131.029999
"299",159.770004,160.309998,132.5,140.619995,12137300,140.619995
"300",134.990005,135.690002,120,131.149994,5512000,131.149994
"301",130.100006,136.800003,127.389999,130.300003,2583100,130.300003
"302",130,131.320007,126.449997,128.059998,1574500,128.059998
"303",128.5,130.5,121.690002,122.480003,2225300,122.480003
"304",120.150002,122.300003,112.019997,116.650002,3850500,116.650002
"305",113.110001,113.75,104.400002,108.910004,3755600,108.910004
"306",110.010002,113.050003,104.410004,106.57,2403600,106.57
"307",107.900002,115.199997,101.599998,102.669998,2920100,102.669998
"308",101,110.209999,92.720001,106.360001,5530000,106.360001
"309",99.019997,102.860001,86.290001,100.150002,6259900,100.150002
"310",96.919998,104.970001,95.010002,99.790001,3574300,99.790001
"311",101.099998,119,100.309998,103.260002,8332500,103.260002
"312",104.139999,107,92.889999,93.519997,3661100,93.519997
"313",95.400002,98,87.610001,97.910004,4107600,97.910004
"314",97.870003,109.82,97.860001,108.93,3499300,108.93
"315",113.010002,116.650002,108.260002,112.599998,3461900,112.599998
"316",110.349998,111.860001,98.059998,100.040001,3279100,100.040001
"317",101.5,106.940002,97.709999,99.230003,2677500,99.230003
"318",99.010002,104,95.080002,102.339996,1906800,102.339996
"319",102.989998,105.379997,98.769997,102.339996,1759400,102.339996
"320",101.760002,117.669998,100.550003,115.599998,4959900,115.599998
"321",114.089996,124.709999,113,124.290001,3866900,124.290001
"322",117.949997,131.779999,116,122.470001,3706500,122.470001
"323",122.480003,129.869995,120.769997,124.25,2824800,124.25
"324",122.93,125.5,116.150002,117.089996,2275700,117.089996
"325",120.959999,127.230003,119.260002,126.160004,1977900,126.160004
"326",124.43,132.850006,123.919998,128.330002,2001900,128.330002
"327",126.769997,130.850006,122.220001,123.410004,1564100,123.410004
"328",124.199997,125.650002,118.129997,121.529999,1553500,121.529999
"329",118.199997,123.330002,114.190002,118.059998,1539100,118.059998
"330",121.220001,123.360001,114.279999,114.870003,1348300,114.870003
"331",105.529999,125.709999,104.120003,124.580002,2256200,124.580002
"332",123.57,124.970001,116.489998,118.580002,1710300,118.580002
"333",121,126.290001,116.889999,123.339996,1614500,123.339996
"334",122.190002,125.870003,118.349998,119.019997,1096000,119.019997
"335",119.5,122.669998,116.370003,121.970001,1310700,121.970001
"336",122.959999,123.739998,117.230003,118.410004,1095600,118.410004
"337",118.010002,120.510002,110.580002,111.660004,1477800,111.660004
"338",115,115,96.099998,99.349998,3147900,99.349998
"339",101.029999,108.989998,97.089996,103.010002,2134000,103.010002
"340",106.980003,108.860001,103.5,105.209999,1399600,105.209999
"341",103.919998,104.059998,98.25,100.559998,1395500,100.559998
"342",102.660004,102.900002,92.690002,92.690002,2205500,92.690002
"343",93.43,94.32,77.580002,78.110001,4533600,78.110001
"344",82.099998,87.559998,78.68,82.639999,3528800,82.639999
"345",85.110001,90.010002,82,86.860001,2653900,86.860001
"346",85.099998,89.580002,83.449997,87.699997,3449100,87.699997
"347",79.739998,97.449997,78.900002,90.790001,8922100,90.790001
"348",90,99.400002,89.760002,94.199997,3953100,94.199997
"349",95.400002,125.790001,94.449997,123.139999,15017200,123.139999
"350",130,150.929993,126.550003,141,24599800,141
"351",134.009995,143.479996,126.760002,142.389999,9100200,142.389999
"352",140.039993,158.160004,138.199997,151.949997,13383900,151.949997
"353",151.979996,190.839996,151.539993,189.589996,16316500,189.589996
"354",188.240005,199.410004,163,179.899994,18011500,179.899994
"355",175,183.339996,165,166.850006,9169200,166.850006
"356",163.100006,175.75,158.509995,166.580002,11242200,166.580002
"357",188.899994,189.770004,155.259995,165,13161900,165
"358",166.979996,173.240005,156.509995,170.729996,4629800,170.729996
"359",168,168.429993,152,153.589996,3956300,153.589996
"360",151.009995,159.289993,149.699997,156.639999,4067000,156.639999
